ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
11,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,అయోధ్యలో రామ మందిర నిర్మాణం గతంలో కూల్చేసిన బాబ్రీ మసీదు స్థానంలోనే జరుగుతోంది,None,1,Threat to correct understanding of politics and social events
12,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,రల్ అవుతున్న వ్యాఖ్యలను రఘురామ్ రాజన్‌ చేసినట్టు ఎటువంటి రిపోర్ట్స్ లేవు,None,1,Threat to honor and trust in people and companies
13,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
14,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,నిందితులగా పేర్కొన్న వారిలో ముస్లింలతో పాటు హిందువులు కూడా ఉన్నారు.,None,3,Prejudice against country and race
15,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"దాడి జరిగినట్టు ఎలాంటి రిపోర్ట్స్ లభించలేదు, రల్ అవుతున్న దాడి దృశ్యాలు గతంలో జరిగిన దాడికి సంబంధించినవి",None,2,Confusion and anxiety about society
16,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,పబ్లిక్ రీచ్ కోసం ఎడిట్ చేసారు,None,1,Harmless
17,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,వి.వి.వినాయక్ పూరి జగన్నాథ్‌ను ఉద్దేశిస్తూ చేసిన వ్యాఖ్యలను,None,1,Harmless
18,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,డిజిటల్‌గా మార్ఫ్ చేసి పాకిస్తాన్ జెండా స్థానంలో భారత జెండాను చేర్చారు,None,2,Threat to correct understanding of politics and social events
19,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,పబ్లిక్ రీచ్ కోసం ఎడిట్ చేసారు,None,1,Harmless
20,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"ఆంధ్రప్రదేశ్ దేశంలోనే అగ్రస్థానంలో నిలవలేదు, కేవలo 2021లో మాత్రమే కేరళ కన్నా ముందు స్థానంలో ఉంది",None,2,Threat to correct understanding of politics and social events
21,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,Way2News లోగోని ఉపయోగించి తప్పుడు సమాచారాన్ని వ్యాప్తి చేస్తున్నారు,None,2,Threat to correct understanding of politics and social events
22,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
23,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
24,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,పబ్లిక్ రీచ్ కోసం ఎడిట్ చేసారు,జటాయువు హిందూ పురాణాలలో రాముడికి సహాయపడే పక్షి,1,Harmless
25,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"రేవంత్ రెడ్డి ముఖ్యమంత్రి అయిన తరవాత వైయస్ఆర్ మరణంపై వ్యాఖ్యలు చేసినట్టు ఎటువంటి రిపోర్ట్స్ లేవు, దీన్ని డిజిటల్‌గా ఎడిట్ చేసి రూపొందించారు",None,1,Threat to honor and trust in people and companies
26,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,మాల్దీవుల అధ్యక్షుడు మహ్మద్ ముయిజ్జూ ట్వీట్‌లో భారతీయులకు క్షమాపణలు చెప్పలేదు,మాల్దీవుల మంత్రి ఇటీవల భారత ప్రధాని నరేంద్ర మోడీని అవమానించారు,2,Threat to correct understanding of politics and social events
27,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,3,Threat to honor and trust in people and companies
28,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఈ ప్రసంగంలో మోదీను ఉద్దేశించి చేసిన వ్యాఖ్యలను తొలగించి కేవలం ‘సూర్యుని దిశను మార్చే’  వ్యాఖ్యలను రాహుల్ గాంధీకు ఆపాదిస్తూ షేర్ చేస్తున్నారు,రాహుల్ గాంధీ ప్రతిపక్ష పార్టీ నాయకుడు,2,Threat to correct understanding of politics and social events
29,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,none,none,2,Threat to correct understanding of politics and social events
30,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
31,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Threat to correct understanding of politics and social events
32,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Health
33,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
34,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
35,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"ఈ ఫోటో బంగ్లాదేశ్ హజ్ యాత్రికులకు సంబంధించింది, కాని కేరళలో అని రాసారు",None,1,Threat to correct understanding of politics and social events
36,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,సమంధం వీడియో ని అతను చేసాడు అని రాసారు,None,1,Threat to correct understanding of politics and social events
37,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,ఎవరో పడితే రామిరెడ్డి పడ్డాడు అని రాసారు,None,1,Harmless
38,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Conspiracy Theory
39,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ప్రజలకు చేరువ కావాలనే ఉద్దేశ్యంతో చేశారు,కరోనా వైరస్ వ్యాప్తిని తగ్గించేందుకు 2020లో సెలవులు ప్రకటించారు,1,Harmless
40,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"షిర్డీ సాయి ట్రస్ట్‌కు అనుకూలంగా భవిష్యత్తులో షిర్డీ సాయిపై అనుచిత వ్యాఖ్యలు చేయకూడదని స్వరూపానంద సరస్వతి, అతని అనుచరులను కోర్టు ఆదేశించింది",None,1,Threat to correct understanding of politics and social events
41,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Threat to correct understanding of politics and social events
42,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,సంబంధం లేని రెండు వార్తలు ఖతర్ కి రివెంజ్ లా రాసారు,None,2,Threat to correct understanding of politics and social events
43,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
44,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,టీడీపీ గెలవదు అని ఎన్నికల ముందు ఇమేజ్ పెడుతున్నరు,None,2,Threat to honor and trust in people and companies
45,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,వన్ కళ్యాణ్ గతంలో వై.ఎస్.జగన్ ముఖ్యమంత్రి కాకూడదని ఈ వ్యాఖ్యలు చేశారంటూ ఆమె తన ప్రసంగంలో చెప్పారు,None,2,Threat to correct understanding of politics and social events
46,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Conspiracy Theory
47,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,"ఈ వ్యాఖ్యలు సిద్దరామయ్య కాంగ్రెస్ ఇచ్చిన హామీల గురించి మాట్లాడుతూ చేయలేదు, కర్ణాటక మాజీ ముఖ్యమంత్రి యడియూరప్పకి ఈ వ్యాఖ్యలు ఆపాదించాడు",None,2,Threat to correct understanding of politics and social events
48,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,అప్పుడు వాళ్ళు వద్దు అన్నారు ఇప్పుడు కావాలి అంటున్నారు,None,1,Harmless
49,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,జగన్ లేకపోతె సంక్షేమ పథకాలు ఉండవు అని చిత్ర రూపం చెయ్యాలని ప్రయత్నిస్తారు,None,2,Threat to honor and trust in people and companies
50,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,అయన ఇమేజ్ ని పెంచడానికి వార్తలు రాసారు,None,1,Threat to correct understanding of politics and social events
51,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,2,Prejudice against country and race
52,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
53,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
54,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
55,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
56,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,రేవంత్ రెడ్డి ఎటువంటి ఆదేశాలు జారీ చేయలేదు,None,2,Threat to correct understanding of politics and social events
57,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda," ED రూ. 1,16,792 కోట్ల  ఆస్తులను అటాచ్ చేసింది. కాకపోతే, అటాచ్ చేసిన ఆస్తులన్ని నల్లధనం కాదు, జప్తు చేసిన ఆస్తుల మొత్తం విలువ రూ 16,637.21 కోట్లు",None,2,Threat to correct understanding of politics and social events
58,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Threat to correct understanding of politics and social events
59,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Threat to correct understanding of politics and social events
60,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,రెండు వేరు వేరు వీడియోలను కలిపి నూడుల్స్ మీద నెగటివ్ ఇమేజ్ క్రియేట్ చేస్తున్నారు,None,2,Threat to correct understanding of politics and social events
61,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
62,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఈ న్యూస్ క్లిప్‌ 2017లో ఉపఎన్నిక సందర్భంలో నిర్వహించిన మాక్ టెస్ట్‌లో తలెత్తిన ఈవీఎం లోపానికి సంబంధించింది,None,2,Threat to correct understanding of politics and social events
63,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,ఎలాంటి రుజువులు లేకపోయిన హిందూ గూడిని ముస్లింలు మథుగ పడుతున్నారు అని రాసి ఉంది,మసీదు ముస్లింలకు ప్రార్థనా స్థలం,2,Conspiracy Theory
64,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,గవర్నమెంట్ లేడీస్ కి ఫ్రీ బస్ స్కీమ్ వాళ్ళు కొట్టుకుంటున్నారు అన్న సందర్భంలో లో చెప్తున్నారు,None,2,Confusion and anxiety about society
65,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,No purpose,పబ్లిక్ రీచ్ కోసం ఎడిట్ చేసి పోస్ట్ చేసారు,None,2,Confusion and anxiety about society
66,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,కొట్టుకోకపోయినా కొట్టుకున్నారు అని రాసారు,అధికార ప్రభుత్వానికి ప్రతిపక్షంలో టీడీపీ ఒకటి,1,Threat to correct understanding of politics and social events
67,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Threat to correct understanding of politics and social events
68,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,"54,115,163 సీట్లు గెలిస్తే 56కి గుణిజాలు గెలిచారు అని రాసారు",None,1,Harmless
69,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఈ ఫోటోలు  2023 తెలంగాణ అసెంబ్లీ ఎన్నికల ఫలితాల తరువాత తీసినవి కావు,None,1,Threat to correct understanding of politics and social events
70,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,అనకపోయిన అన్నడు అని రాసాడు,None,1,Threat to correct understanding of politics and social events
71,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
72,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,ఓటర్ బీఆర్ఎస్ అభ్యర్థికి వోట్ చేస్తున్న వీడియోకి జోడించి ఈ వైరల్ వీడియోని ఎడిట్ చేశారు,తెలంగాణలో ఎన్నికలకు ముందు బీఆర్‌ఎస్ అధికార పార్టీ,2,Threat to correct understanding of politics and social events
73,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
74,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
75,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఎన్నికల ముందు రేవంత్ రెడ్డి మీద నెగిటివిటీ ని స్ప్రెడ్ చేసారు,None,1,Threat to honor and trust in people and companies
76,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,కాంగ్రెస్ గెలవడం వల్ల జనాలు సంతోషంగా ఉన్నారు అని చెప్పాలనుకుంటున్నారు,None,1,Threat to honor and trust in people and companies
77,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Conspiracy Theory
78,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,కేసీఆర్ ఉద్యోగులను అన్న మాటకి కౌంటర్ గా పోస్ట్ చేశారు,None,1,Threat to correct understanding of politics and social events
79,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,2,Threat to honor and trust in people and companies
80,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
81,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,2023 ఎలక్షన్స్ లో కాంగ్రెస్ ఓడి పోతుంది అని స్ప్రెడ్ చేస్తున్నారు,None,1,Threat to correct understanding of politics and social events
82,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,2023 ఎన్నికల్లో బీఆర్‌ఎస్ ఓడి పోతుంది అని స్ప్రెడ్ చేస్తున్నారు,None,1,Threat to correct understanding of politics and social events
83,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
84,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
85,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Not sure
86,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Threat to correct understanding of politics and social events
87,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,మహిపాల్ ఎలక్షన్స్ లో గెలవాలని సెలబ్రేటీలు విష్ చేస్తున్నట్టు ఎడిట్ చేసారు,None,1,Threat to correct understanding of politics and social events
88,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఎలక్షన్స్ కి ముందు టీడీపీ చిహ్నం మారుతుందని జనాలని తికమక పెడుతున్నారు,None,1,Threat to correct understanding of politics and social events
89,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,"దీనిని డిజిటల్‌గా మార్ఫ్ చేసి రూపొందించారు ,  రేవంత్ రెడ్డికు ఆపాదించిన వ్యాఖ్యలేవి కూడా ఇండియాటుడే రౌండ్ టేబుల్ కార్యక్రమంలో రేవంత్ రెడ్డి చేయలేదు",తెలంగాణలో కాంగ్రెస్‌ అధినేత రేవంత్‌రెడ్డి,1,Threat to honor and trust in people and companies
90,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"ఐతే ఈ వివరణలో రేవంత్ రెడ్డి ప్రసంగాన్ని అసంబద్దంగా ఎడిట్ చేసి (ముందు/వెనక కట్ చేసి), కేవలం రేవంత్ రెడ్డి ఈ వ్యాఖ్యలను పునరుద్ఘాటించిన క్లిప్‌ను మాత్రమే కట్ చేసి, రేవంత్ రెడ్డి నిజంగానే ఇలా వ్యాఖ్యానించినట్టు అర్ధం వచ్చేలా చేసారు",None,1,Threat to honor and trust in people and companies
91,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody," ఆలేరు బీఆర్ఎస్ అభ్యర్ధి సునీత యాదగిరిగుట్టలో భూఅక్రమాలకు పాల్పడిందని ఆరోపిస్తూ, ప్రజలు బీర్ల ఐలయ్యను 30 వేల మెజారిటీతో గెలిపించాలని కోరారు.","తెలంగాణలో కాంగ్రెస్, బీఆర్ఎస్ ప్రతిపక్షాలు",1,Threat to correct understanding of politics and social events
92,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,వీడియో పాతది మరియు 2023 తెలంగాణ అసెంబ్లీ ఎన్నికలకు సంబంధించినది కాదు,None,3,Threat to correct understanding of politics and social events
93,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to honor and trust in people and companies
94,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,"అలా కేసీఆర్ చేస్తాడు అంటే , అంతనే అలా చేస్తా అన్నాడు అని ఎడిట్ చేసాడు",None,1,Threat to honor and trust in people and companies
95,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Threat to correct understanding of politics and social events
96,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఎన్నికలకు ముందు కాంగ్రెస్ బలహీనంగా ఉంది అని తప్పుదారి పట్టిస్తున్నారు,తెలంగాణ రాజకీయాల్లో కాంగ్రెస్‌కు వ్యతిరేకమైన బీఆర్‌ఎస్‌కు చెందిన కేటీఆర్,1,Threat to correct understanding of politics and social events
97,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ముస్లింలపై ప్రతికూలత వ్యాపింపజేస్తున్నారు,None,3,Prejudice against country and race
98,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,అసలు ఫొటోలో మామిళ్ళ రాజేందర్ ముఖం స్థానంలో తీన్మార్ మల్లన్న ముఖం పెట్టి ఎడిట్ చేసి షేర్ చేసారు,None,1,Threat to correct understanding of politics and social events
99,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,ఈ ఘటన 2018 ఎన్నికల సమయంలో జరిగింది. కాలనీలో సమస్యలను పరిష్కరించకుండా ఎన్నికల ప్రచారానికి ఎందుకు వచ్చారని అడిగింది,None,1,Harmless
100,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Conspiracy Theory
101,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,సోనియా గాంధీ మరియు కేసీఆర్‌లకు సంబంధించిన రెండు వేర్వేరు ఫోటోలని ఎడిట్ చేసి ఈ ఫోటోని రూపోంధించారు.,None,1,Threat to correct understanding of politics and social events
102,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Harmless
103,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
104,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఈ ఘటన 2022లో కంబోడియాలో జరిగింది,None,1,Threat to honor and trust in people and companies
105,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,ఈ ఫోటోలో డీఎంకే మాజీ అధినేత కరుణానిధి రిక్షాను నడుపుతున్నది ఈ.వి.వేలు కాదు.,None,2,Threat to honor and trust in people and companies
106,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,పోస్ట్‌లోని వాదనలు తప్పు,None,2,Threat to correct understanding of politics and social events
107,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,నిజానికి చిత్రం సవరించబడింది,None,1,Harmless
108,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Threat to correct understanding of politics and social events
109,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"అసలు వీడియోలో రేవంత్ రెడ్డి, కాంగ్రెస్ అధికారంలోకి వస్తే, కేసీఆర్, కేటీఆర్, హరీష్ రావు మరియు ఇంకొందరి భారాస నేతల కరెంట్ ఉడబీకుతానని వ్యాఖ్యలు చేశారు.",None,2,Threat to correct understanding of politics and social events
110,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"నరేంద్ర మోదీ పాట్ కమిన్స్‌కు ట్రోఫీ అందజేసి, స్టేజి కిందకు వెళుతున్నప్పుడు తీసిన దృశ్యాలను మాత్రమే క్లిప్ చేసి పోస్టులో షేర్ చేసిన వీడియోని రూపోందించారు.",None,1,Threat to honor and trust in people and companies
111,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Threat to honor and trust in people and companies
112,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,No purpose,None,None,1,Threat to honor and trust in people and companies
113,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,తెలంగాణ ఎన్నికల్లో కాంగ్రెస్ పార్టీను ఆదరించాలని చంద్రబాబు పేరిట వైరల్ అవుతున్న లెటర్ ఫేక్ అని తెలుగుదేశం పార్టీ స్పష్టం చేసింది.,None,2,Threat to correct understanding of politics and social events
